BCUS98181	Starhawk Ultimate Edition			25333088	
NPEB00113	Call of Duty Classic French Version	http://zeus.dl.playstation.net/cdn/EP0002/NPEB00113_00/SNhRkR6CwU5mHbsD6eeliocSFWu971vOE5MAMEtl59UKYDh6TQlPTgymBjkD1SK5JMEtdVWKm9AfxbUKNdHyeWovrXa9n48cKsv7r.pkg	1763B2473C1553028847437992400021	987927856	
NPJJ00137	Money Idol Exchanger (PSX)	http://zeus.dl.playstation.net/cdn/JP0035/NPJJ00137_00/PEDAwjqmIiarRsPYMveeDeFAayGxTauBVPHjvmjLJxyhlYzuQHdOpTrJnrZghYGSPDKCtXRNJAwFaKLAgAusuLcuALWRbPbBRzyQy.pkg	D0AC94316D545425DBF709216C69D5DE	82114112	
NPJJ00277	GaiaSeed: Project Seed Trap (PSX)	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00277_00/8KWsoeW9X64xk8ThcL82PAYJ8axMGDsTHytC6rS99nS5jDJivjwdFoYAECw0vYjS34ho5d4PSc4d2y2D7nUo5qlfAMaJlB8GrJlTM.pkg	2524D3E2DF8D8CA50F4F360F7A8BEC7A	66720144	
NPUA30002	Bejeweled 2	http://ares.dl.playstation.net/cdn/UP0017/NPUA30002_00/Jtjh2BLj2lxls0no6QHRYAObnFH1O0fx3fMopA51KWAxNvCgyId4ca9TICIJYOcud74Tj35aevkqpfpSn6Hbxjl1YcTgkgD9G80oh.pkg	NOT REQUIRED	23352560	
NPUA30003	Zuma	http://ares.dl.playstation.net/cdn/UP0017/NPUA30003_00/ioK4HQEme7gxPUvRL2GdkKcQ22m8NSbH18wyykhfRciOKfcS3wRbg8wDi5mV55RqLthom20FQkQoMj2bdmlYMABmssDfnsbDMVP9s.pkg	NOT REQUIRED	19848432	
NPUA30004	Heavy Weapon	http://ares.dl.playstation.net/cdn/UP0017/NPUA30004_00/eQ7YSLGmnAtPjIK2dwegwljRQmluoDNe24dahUBfyilXFs3DH18JShMVgLf6571SP456vbObEyn5UwT2no3bhX2kT4JJ57VL711Rl.pkg	NOT REQUIRED	49754752	
NPUA30005	Peggle	http://ares.dl.playstation.net/cdn/UP0017/NPUA30005_00/NH9yQ2O2tBxGWmvArip9Cc8TEHdulfrSo5VMOnbdb3lWNVM29uC8pmfkVjjyaI51NOPhdHLAk2ysque8sJd9DeCa0gPdQxqoAhQgB.pkg	NOT REQUIRED	107037968	
NPUA30006	Feeding Frenzy 2	http://ares.dl.playstation.net/cdn/UP0017/NPUA30006_00/bvlXEi5JR1VWGth0W6muNSsnVDefNBwYV6qvYslgCXStPjV4eXXm8vFc2RWRr2tgEfnMxeMQudai7hSqSQeC7omWDJUKnwDaYka7H.pkg	NOT REQUIRED	58568464	
NPUA30013	Switchball	http://zeus.dl.playstation.net/cdn/UP0017/NPUA30013_00/jb3vKOF8tw3wfUIePyVQvmhswRRjH8fKMFbDfh7DAS53QlpVCoa9tuLYscxGBBPgpr435MsRM6laTT9Ri2GQaaMRMOCKgBNi26aw7.pkg	EA1B61F90B9271F070B75F1E9438C13A	203582992	
